"วัตถุดิบ","ทุกกี่วัน","สั่งกี่วัน","ร้าน","ยอดรวม","กี่ชื่อ","ล่าสุด","ชื่อทั้งหมด"
"สุราปรุงอาหารเสียวเฮงฮวยเตียว (เหล้าจีน) ตราเจดีย์","","1","Freshket","196","1","2026-07-18","Freshket: สุราปรุงอาหารเสียวเฮงฮวยเตียว (เหล้าจีน) ตราเจดีย์"
"ลูกพรุนอบแห้งพรีเมียม ตราเฮอริเทจ","","1","Freshket","196","1","2026-08-20","Freshket: ลูกพรุนอบแห้งพรีเมียม ตราเฮอริเทจ"
"ดาวน์นี่ น้ำยาปรับผ้านุ่มเข้มข้น ตากผ้าในร่ม 2,000 มล.","","1","GO","195","1","2026-06-03","GO: ดาวน์นี่ น้ำยาปรับผ้านุ่มเข้มข้น ตากผ้าในร่ม 2,000 มล."
"ไดโน่ ม็อบล็อค ด้ามอลูมิเนียม 1.2 ม. พร้อมผ้าม็อบ 300 ก. 12 นิ้ว","","1","GO","195","1","2026-07-13","GO: ไดโน่ ม็อบล็อค ด้ามอลูมิเนียม 1.2 ม. พร้อมผ้าม็อบ 300 ก. 12 นิ้ว"
"แมกโนเลีย แดรี่วิปปิ้งครีม 946 มล.","","1","GO","195","1","2026-08-04","GO: แมกโนเลีย แดรี่วิปปิ้งครีม 946 มล."
"ทิพรส น้ำปลา 4,500 มล.","","1","GO","192","1","2026-07-27","GO: ทิพรส น้ำปลา 4,500 มล."
"พรวิภา กุนเชียงหมู 8 นิ้ว ผูกเชือก 1 กก.","","1","GO","190","1","2026-08-03","GO: พรวิภา กุนเชียงหมู 8 นิ้ว ผูกเชือก 1 กก."
"เอ ชอยซ์ เกาลัดแกะเปลือกแช่แข็ง 1 กก.","","1","GO","189","1","2026-05-27","GO: เอ ชอยซ์ เกาลัดแกะเปลือกแช่แข็ง 1 กก."
"เอ ชอยซ์ กระเทียมโทนดอง 850 ก.","","1","GO","189","1","2026-06-27","GO: เอ ชอยซ์ กระเทียมโทนดอง 850 ก."
"น้าผึงเกสรดอกลําไย ตราดอยคํา","","1","Freshket","188","1","2026-09-02","Freshket: น้าผึงเกสรดอกลําไย ตราดอยคํา"
"เอ ชอยซ์ มะม่วงน้ำดอกไม้หั่นเต๋าแช่แข็ง 1 กก.","","1","GO","175","1","2026-07-11","GO: เอ ชอยซ์ มะม่วงน้ำดอกไม้หั่นเต๋าแช่แข็ง 1 กก."
"โลโบ ผงทำหมูแดง 100 ก. x 6","","1","GO","170","1","2026-06-20","GO: โลโบ ผงทำหมูแดง 100 ก. x 6"
"เอ็มบอร์ก วิปแอนด์คุก 1 กก.","","1","GO","170","1","2026-07-16","GO: เอ็มบอร์ก วิปแอนด์คุก 1 กก."
"เอ ชอยซ์ พริกป่น 800 ก.","","1","GO","165","1","2026-08-11","GO: เอ ชอยซ์ พริกป่น 800 ก."
"เส้นหมีอบแห้ง ตราไวไว","","1","Freshket","164","1","2026-09-02","Freshket: เส้นหมีอบแห้ง ตราไวไว"
"กระดาษไขเคลือบพิเศษ 45 ซม. x 30 ม. 1 ชิน/กล่อง","","1","Freshket","164","1","2026-09-08","Freshket: กระดาษไขเคลือบพิเศษ 45 ซม. x 30 ม. 1 ชิน/กล่อง"
"บะหมีผักโมโรเฮยะ","","1","Freshket","161","1","2026-07-06","Freshket: บะหมีผักโมโรเฮยะ"
"วิม ผลิตภัณฑ์ทำความสะอาดห้องน้ำ สีเขียว 3,500 มล.","","1","GO","159","1","2026-06-03","GO: วิม ผลิตภัณฑ์ทำความสะอาดห้องน้ำ สีเขียว 3,500 มล."
"วิซ ถูพื้น ทรีดี ชมพู 5,200 มล.","","1","GO","159","1","2026-06-09","GO: วิซ ถูพื้น ทรีดี ชมพู 5,200 มล."
"น้ายาถูพืน กลินลิลลีบูเก้ ตรามาจิคลีน (สีชมพู)","","1","Freshket","158","1","2026-07-20","Freshket: น้ายาถูพืน กลินลิลลีบูเก้ ตรามาจิคลีน (สีชมพู)"
"สก๊อตช์-ไบรต์ แผ่นใยขัดพร้อมฟองน้ำ 3 x 4 นิ้ว x 12","","1","GO","155","1","2026-07-28","GO: สก๊อตช์-ไบรต์ แผ่นใยขัดพร้อมฟองน้ำ 3 x 4 นิ้ว x 12"
"ทูน่าแซนวิชในน้าเกลือ ตราซีเล็คฟิตต์ 4 x","","1","Freshket","154","1","2026-08-20","Freshket: ทูน่าแซนวิชในน้าเกลือ ตราซีเล็คฟิตต์ 4 x"
"เด็กสมบูรณ์ ซีอิ๊วขาวเห็ดหอม 2,000 มล.","","1","GO","150","1","2026-05-30","GO: เด็กสมบูรณ์ ซีอิ๊วขาวเห็ดหอม 2,000 มล."
"ง่วนเชียง ซีอิ๊วดำฉลากส้ม 2,700 ก.","","1","GO","150","1","2026-07-18","GO: ง่วนเชียง ซีอิ๊วดำฉลากส้ม 2,700 ก."
"บร็อคโคลี","","1","Freshket","150","1","2026-09-16","Freshket: บร็อคโคลี"
"ซันไลต์ ผลิตภัณฑ์ทำความสะอาดพื้น 3.8 ล.","","1","GO","149","1","2026-06-03","GO: ซันไลต์ ผลิตภัณฑ์ทำความสะอาดพื้น 3.8 ล."
"เอ ชอยซ์ แครนเบอร์รี่แช่แข็ง 1 กก.","","1","GO","149","1","2026-08-02","GO: เอ ชอยซ์ แครนเบอร์รี่แช่แข็ง 1 กก."
"ทาเบรุ สาหร่ายแผ่นย่างตัดเส้น 100 ก.","","1","GO","145","1","2026-07-05","GO: ทาเบรุ สาหร่ายแผ่นย่างตัดเส้น 100 ก."
"จังกึม กิมจิ 1 กก.","","1","GO","145","1","2026-08-06","GO: จังกึม กิมจิ 1 กก."
