บาร์โค้ด,สินค้า GO,หน่วย,สั่งกี่ครั้ง,ราคาต่อหน่วย,ยอดรวม
8857129337195,"เอ ชอยซ์ ซอสหอยนางรม 1,000 ก.",Piece,2,25,125
2000100079423,"ขึ้นฉ่าย ถุงใหญ่ 0.5-1.5 กก./แพ็ค",Pack,1,119,119
5704025035577,"เอ็มบอร์ก เกรทเต็ดพาเมซาน 100 ก.",Piece,1,119,119
8854215006355,"ถุงม้วนปรุไฮเดนใส ตราซุปเปอร์เซฟ ขนาด 10X15 นิ้ว",PACK,1,119,119
2000100336922,"องุ่นแดงไร้เมล็ด จีน แพ็ค 800 ก.",PACK,1,119,119
8850076920205,"เอลเอวิออน โรสแมรี่ 200 ก.",Piece,1,119,119
8859786400533,"เอ ชอยซ์ เมล็ดข้าวโพดหวานแช่แข็ง 1 กก.",Piece,1,59,118
2000100208755,"มะม่วงเขียวสามรส 1 กก.",Kilogram,3,39,117
2000100075098,"หอมใหญ่ไทย แพ็ค 1 กก.",PACK,1,23,115
8858418614546,"โครงการหลวง พริกยักษ์สีแดง แพ็ค 150 ก.",PACK,2,29,112
8850358373293,"แม็กกาแรต ข้าวโอ๊ตละเอียด 1 กก.",Piece,1,110,110
8850069010104,"ปรุงทิพย์ เกลือ 5 กก.",Piece,2,55,110
2000100079812,"ใบกะเพรา แพ็ค 150 ก.",PACK,5,19,106
2000100071397,"ผักแพว แพ็ค 200 ก.",Piece,3,35,105
2000100051689,"กระดูกซุปหมู 1 กก.",Kilogram,2,55,104
8858836201809,"เห็ดเข็มทอง แพ็ค 1 กก.",PACK,2,49,102
8850298210009,"ช้างสามเศียร แป้งข้าวเหนียว 1 กก.",Piece,1,50,100
8859486001214,"ซูปเปอร์ แก๊สบิวเทน แก๊สกระป๋อง 250 ก. x 3",PACK,1,99,99
2000100169643,"มันหวานสายพันธุ์ญี่ปุ่นสีม่วง 1 กก.",Kilogram,1,99,99
2000100071274,"ชะอม แพ็ค 300 ก.",Piece,1,49,98
8031459132778,"ออตติมา เฟตตูชินี่ พาสต้า 500 ก.",Piece,1,49,98
2000100075654,"มะเขือเทศราชินี ออร์แกนิค แพ็ค 300 ก.",PACK,1,49,98
2000100154885,"พริกจินดา แห้ง เด็ดก้าน 100 ก.",Piece,3,32,96
2000100079607,"ผักชีฝรั่ง แพ็ค 150 ก.",PACK,4,19,95
8853256005099,"สาหร่ายทะเลแห้ง 100 ก.",Piece,1,95,95
0074880057393,"เอสแอนด์บี แกงกะหรี่ก้อนเผ็ด 200 ก.",Piece,1,95,95
8851483300413,"เอ ชอยซ์ ถั่วลิสง 1,000 ก.",Piece,1,94,94
8854215005624,"ซุปเปอร์เซฟ ถุงมือพลาสติกสีฟ้า พีอี พับทีละ 2 ชิ้น",PACK,1,93,93
8853724001066,"สุบากิ วูสเตอร์ซอส 1 ล.",Piece,1,92,92
2000100028759,"ลูกเดือย 500 ก.",Piece,1,46,92
8856366000084,"ทาเบรุ สาหร่ายทะเลวากาเมะอบแห้ง 100 ก.",PACK,1,90,90
2000100075579,"ผักสลัดแก้ว ออร์แกนิค แพ็ค 200 ก.",PACK,1,45,90
8851163005935,"เอ็นที ปืนจุดแก๊ส x 3",PACK,1,89,89
2000100075722,"หน่อไม้ฝรั่ง ออร์แกนิค แพ็ค 300 ก.",PACK,1,89,89
8856366000145,"ทาเบรุ สาหร่ายทะเลคอมบุอบแห้ง 100 ก.",PACK,1,88,88
2000100079287,"ผักโขมจีน แพ็ค 300 ก.",PACK,2,22,88
2000100080641,"พริกขี้หนูสวนเด็ดก้าน แพ็ค 100 ก.",PACK,3,29,87
2000100308523,"หัวไชเท้า ถุงใหญ่ แพ็ค 3 กก.",PACK,1,87,87
2000100208731,"หอมใหญ่ไทย ยกกระสอบ 5 กก.",Sack,1,85,85
2000100076866,"ต้นหอมญี่ปุ่น 1 กก.",Kilogram,1,85,85
8850341300053,"ใบหยก แป้งมันสำปะหลัง 1 กก.",Piece,1,42,84
8856366002125,"คาอิโซ เส้นแก้ว ชนิดเส้นเล็ก 300 ก.",PACK,1,41,82
8857104140017,"เคซีเอฟ ไข่เค็มต้ม แพ็ค 4 ฟอง",Piece,1,41,82
2000100078440,"แตงกวา แพ็ค 500 ก.",PACK,3,25,79
8850161166051,"อัมพวา กะทิแท้ 100% Prisma 1 ล.",Piece,1,79,79
2000100073742,"สับปะรดศรีราชา 1 ลูก",Piece,2,39,78
8856366000015,"คาอิโซ เส้นแก้ว 300 ก.",PACK,1,39,78
8851056190106,"ฟิกเกอร์ ตะหลิวไนลอน ทนร้อน 210 องศา สีดำ รุ่น NSP001",Piece,1,38,76
8001200139196,"แอคเนซี พาสต้า เพนเน่ ริกาเต้ เบอร์ 19 500 ก.",Piece,1,76,76
2000100079447,"ขึ้นฉ่าย แพ็ค 150 ก.",PACK,3,25,72
2000100077115,"ถั่วงอก แพ็ค 1 กก.",PACK,2,35,70
8851163047775,"เอ็นที ชุดช้อนตวงสแตนเลส 4 ขนาด",Piece,1,35,70
8850885324263,"ตรามือที่ 1 โรสแมรี่ 100 ก.",Piece,1,70,70
2000100144947,"ปลาทูนึ่ง 4 ตัว ขนาด 8-10 ตัว/กก. 1 แพ็ค",PACK,1,69,69
8854700004231,"ขมิ้น ผง 200 ก.",Piece,1,68,68
8859407100088,"ซีไอ เต้าหู้ขาว 200 ก.",Piece,1,21,63
8858870307840,"เอ ชอยซ์ เกล็ดขนมปัง 1 กก.",Piece,1,62,62
8850341100011,"ใบหยก แป้งข้าวจ้าว 1 กก.",Piece,1,31,62
2000100078150,"มะเขือยาว 1 กก.",Kilogram,1,59,59
2000100073506,"ถั่วลันเตาหวานนอก แพ็ค 300 ก.",PACK,1,59,59
8859786400557,"เอ ชอยซ์ ถั่วลันเตาแช่แข็ง 1 กก.",Piece,1,59,59
8850173330167,"น้ำใจ พริกแกง พะแนง 500 ก.",Piece,1,58,58
2000100077450,"ผักกาดขาวปลี 1 กก.",Kilogram,1,29,58
8850329381876,"เมจิ โยเกิร์ตไม่เติมน้ำตาล รสธรรมชาติ 135 ก. x 4",Piece,1,58,58
2000100078822,"หัวไชเท้า ถุงใหญ่ 2.5-3.5 กก./แพ็ค",Pack,1,19,57
8857129337140,"เอ ชอยซ์ ซอสพริก 1,000 ก.",Piece,1,27,54
