แหล่ง,รหัส,ชื่อสินค้า,ขนาดบรรจุ/หน่วย,สั่งกี่ครั้ง,ราคาต่อหน่วย
GO,8001200139561,"แอคเนซี พาสต้า เอลิเก เบอร์ 56 500 ก.","Piece",1,76
GO,2000100079737,"ใบโหระพา แพ็ค 150 ก.","PACK",11,15
GO,2000100080016,"สะระแหน่และผักชีฝรั่ง แพ็ค 150 ก.","PACK",7,29
GO,2000100054628,"ตับไก่ 1 กก.","Kilogram",2,108
GO,8856628200122,"ไทยฮันนี่ น้ำผึ้งดอกไม้ป่าขนาด 1,000 ก.","Piece",1,210
GO,8850096170802,"เฮอริเทจ แครนเบอร์รี่ ซอฟแอนด์มอยส์ 500 ก.","Piece",1,210
GO,3076820002064,"เครสโป มะกอกดำ ไม่มีเมล็ด 387 ก.","Piece",2,107
GO,2000100080566,"พริกขี้หนูสวน ถุงใหญ่ 0.5-1.5 กก./แพ็ค","Pack",2,89
GO,8857128566336,"แสงทอง น้ำตาลเหลว 1,000 ก.","Piece",3,52
GO,8850100002884,"ไวไว เส้นหมี่กึ่งสำเร็จรูปอบแห้ง 500 ก. x 3","PACK",2,100
GO,2000100072486,"เห็ดออรินจินอก ใหญ่ แพ็ค 1 กก.","PACK",3,49
GO,2000100144541,"สาลี่ทอง 1 กก.","Kilogram",4,49
GO,4902430366816,"ดาวน์นี่ น้ำยาปรับผ้านุ่มเข้มข้น ตากผ้าในร่ม 2,000 มล.","Piece",1,195
GO,2000100078242,"มะระจีน 1 กก.","Kilogram",3,65
GO,8800002101451,"ไดโน่ ม็อบล็อค ด้ามอลูมิเนียม 1.2 ม. พร้อมผ้าม็อบ 300 ก. 12 นิ้ว","Piece",1,195
GO,8858705600115,"แมกโนเลีย แดรี่วิปปิ้งครีม 946 มล.","Piece",1,195
GO,8850545455559,"ทิพรส น้ำปลา 4,500 มล.","Piece",1,192
GO,8854387005118,"พรวิภา กุนเชียงหมู 8 นิ้ว ผูกเชือก 1 กก.","PACK",1,190
GO,8859786400977,"เอ ชอยซ์ เกาลัดแกะเปลือกแช่แข็ง 1 กก.","Piece",1,189
GO,8859786401936,"เอ ชอยซ์ กระเทียมโทนดอง 850 ก.","Piece",1,189
GO,2000100081860,"มะเขือเทศท้อ 1 กก.","Kilogram",3,65
GO,2000100077832,"บวบเหลี่ยม 1 กก.","Kilogram",3,59
GO,2000100075005,"กระเทียมจีน แกะกลีบคละไซส์ แพ็ค 1 กก.","PACK",1,59
GO,8857120160471,"เส้นเงิน แผ่นเกี๊ยวจีน 500 ก.","PACK",3,44
GO,8859786401233,"เอ ชอยซ์ มะม่วงน้ำดอกไม้หั่นเต๋าแช่แข็ง 1 กก.","Piece",1,175
GO,8850030632946,"โลโบ ผงทำหมูแดง 100 ก. x 6","PACK",1,170
GO,5704025036000,"เอ็มบอร์ก วิปแอนด์คุก 1 กก.","Piece",1,170
GO,2000100080832,"พริกชี้ฟ้าแดง แพ็ค 300 ก.","PACK",5,35
GO,8851483400144,"เอ ชอยซ์ พริกป่น 800 ก.","Piece",1,165
GO,2000100151013,"หอมใหญ่ไทย 1 กระสอบ","Sack",1,160
GO,2000100072929,"มันฝรั่งนอก แพ็ค 1 กก.","PACK",1,32
GO,8851932263870,"วิม ผลิตภัณฑ์ทำความสะอาดห้องน้ำ สีเขียว 3,500 มล.","Piece",1,159
GO,8850092102852,"วิซ ถูพื้น ทรีดี ชมพู 5,200 มล.","Piece",1,159
GO,2000100081143,"มะนาวแป้น แพ็ค 10 ลูก","PACK",8,25
GO,8858773999340,"ซุปเปอร์เซฟ ถุงขยะดำหนา 30 x 40 นิ้ว 1 กก.","PACK",1,79
GO,8858773999357,"ซุปเปอร์เซฟ ถุงขยะดำหนา 36 x 45 นิ้ว 1 กก.","PACK",1,79
GO,8850304017868,"สก๊อตช์-ไบรต์ แผ่นใยขัดพร้อมฟองน้ำ 3 x 4 นิ้ว x 12","PACK",1,155
GO,8850161166150,"อัมพวา กะทิแท้ 100% 250 มล. x 6","PACK",1,152
GO,2000100079560,"ผักชี แพ็ค 150 ก.","PACK",3,25
GO,8850206010363,"เด็กสมบูรณ์ ซีอิ๊วขาวเห็ดหอม 2,000 มล.","Piece",1,150
GO,8851912020660,"ง่วนเชียง ซีอิ๊วดำฉลากส้ม 2,700 ก.","Piece",2,75
GO,8851932462952,"ซันไลต์ ผลิตภัณฑ์ทำความสะอาดพื้น 3.8 ล.","Piece",1,149
GO,8859786400137,"เอ ชอยซ์ แครนเบอร์รี่แช่แข็ง 1 กก.","Piece",1,149
GO,8856366002132,"คาอิโซ เส้นแก้ว ชนิดเส้นเล็ก 1 กก.","PACK",1,73
GO,8856366000077,"ทาเบรุ สาหร่ายแผ่นย่างตัดเส้น 100 ก.","PACK",1,145
GO,6957756266652,"จังกึม กิมจิ 1 กก.","Piece",1,145
GO,2000100077306,"กะหล่ำปลี 1 กก.","Kilogram",5,25
GO,8858418614485,"โครงการหลวง ผักสลัดแก้ว แพ็ค 300 ก.","Piece",2,35
GO,9414897010133,"ทาลลีย์ ถั่วลันเตาแช่แข็ง 1 กก.","Piece",1,139
GO,8858832701631,"ซุปเปอร์เซฟ ถุงเย็น HDPE 6 x 9 นิ้ว บรรจุ 1 กก.","PACK",1,139
GO,8858832701655,"ซุปเปอร์เซฟ ถุงเย็น HDPE 12 x 18 นิ้ว บรรจุ 1 กก.","PACK",1,139
GO,8850885304173,"ตรามือที่ 1 พาร์สลีย์ 50 ก.","Piece",2,69
GO,2000100073056,"สลัดแก้วนอก 1 กก.","Kilogram",2,69
GO,2000100072622,"เห็ดชิเมจิขาว แพ็ค 1 กก.","PACK",1,69
GO,2000100080245,"ตะไคร้ แพ็ค 500 ก.","PACK",5,29
GO,8859332430014,"เอ ชอยซ์ น้ำส้มสายชูกลั่น 5% 4,500 มล.","Piece",2,67
GO,8031459132754,"ออตติมา เส้นคาเปลลินี 500 ก.","Piece",1,45
GO,8857120160914,"เส้นเงิน แผ่นเกี๊ยวจีน เจ 500 ก.","Piece",1,44
GO,8857128566367,"แสงทอง น้ำตาลมะพร้าวก้นหอย 1,000 ก.","Piece",1,65
GO,2000100079713,"ใบโหระพา ถุงใหญ่ 0.5-1.5 กก./แพ็ค","Pack",2,55
GO,8857121846046,"ฟองฟอง ฟองเต้าหู้แท่ง 500 ก.","PACK",1,129
GO,2000100081044,"พริกหนุ่ม ถุงใหญ่ 0.5-1.5 กก./แพ็ค","Pack",2,69
GO,8857115170201,"เจ้ควิก เต้าหู้ขาว 180 ก.","PACK",3,21
GO,2000100079638,"ผักชีลาว แพ็ค 150 ก.","PACK",5,19
GO,2000100156896,"ผักกวางตุ้งไต้หวัน แพ็ค 300 ก.","Piece",3,25
GO,8857129337195,"เอ ชอยซ์ ซอสหอยนางรม 1,000 ก.","Piece",2,25
GO,2000100184998,"หน่อไม้ฝรั่งเขียว แพ็ค 300 ก.","Piece",2,65
GO,2000100079423,"ขึ้นฉ่าย ถุงใหญ่ 0.5-1.5 กก./แพ็ค","Pack",1,119
GO,5704025035577,"เอ็มบอร์ก เกรทเต็ดพาเมซาน 100 ก.","Piece",1,119
GO,8854215006355,"ถุงม้วนปรุไฮเดนใส ตราซุปเปอร์เซฟ ขนาด 10X15 นิ้ว","PACK",1,119
GO,2000100336922,"องุ่นแดงไร้เมล็ด จีน แพ็ค 800 ก.","PACK",1,119
GO,8850076920205,"เอลเอวิออน โรสแมรี่ 200 ก.","Piece",1,119
GO,8852391010050,"ฉั่วฮะเส็ง น้ำพริกเผา สูตร 1 900 ก.","Piece",1,118
GO,8859786400533,"เอ ชอยซ์ เมล็ดข้าวโพดหวานแช่แข็ง 1 กก.","Piece",1,59
GO,2000100208755,"มะม่วงเขียวสามรส 1 กก.","Kilogram",3,39
GO,2000100082089,"ข้าวโพดอ่อน แพ็ค 500 ก.","PACK",4,29
GO,8850329381548,"เมจิ โยเกิร์ตไม่มีไขมันรสออริจินัล 135 ก. x 4","PACK",2,58
GO,2000100075098,"หอมใหญ่ไทย แพ็ค 1 กก.","PACK",1,23
GO,8858418614546,"โครงการหลวง พริกยักษ์สีแดง แพ็ค 150 ก.","PACK",2,29
GO,8850358373293,"แม็กกาแรต ข้าวโอ๊ตละเอียด 1 กก.","Piece",1,110
GO,8850069010104,"ปรุงทิพย์ เกลือ 5 กก.","Piece",2,55
GO,2000100079812,"ใบกะเพรา แพ็ค 150 ก.","PACK",5,19
GO,2000100071397,"ผักแพว แพ็ค 200 ก.","Piece",3,35
GO,2000100051689,"กระดูกซุปหมู 1 กก.","Kilogram",2,55
GO,8858836201809,"เห็ดเข็มทอง แพ็ค 1 กก.","PACK",2,49
GO,8850298210009,"ช้างสามเศียร แป้งข้าวเหนียว 1 กก.","Piece",1,50
GO,8859486001214,"ซูปเปอร์ แก๊สบิวเทน แก๊สกระป๋อง 250 ก. x 3","PACK",1,99
GO,2000100169643,"มันหวานสายพันธุ์ญี่ปุ่นสีม่วง 1 กก.","Kilogram",1,99
GO,2000100071274,"ชะอม แพ็ค 300 ก.","Piece",1,49
GO,8031459132778,"ออตติมา เฟตตูชินี่ พาสต้า 500 ก.","Piece",1,49
GO,2000100075654,"มะเขือเทศราชินี ออร์แกนิค แพ็ค 300 ก.","PACK",1,49
GO,2000100154885,"พริกจินดา แห้ง เด็ดก้าน 100 ก.","Piece",3,32
GO,2000100079607,"ผักชีฝรั่ง แพ็ค 150 ก.","PACK",4,19
GO,8853256005099,"สาหร่ายทะเลแห้ง 100 ก.","Piece",1,95
GO,0074880057393,"เอสแอนด์บี แกงกะหรี่ก้อนเผ็ด 200 ก.","Piece",1,95
GO,2000100073759,"สับปะรดตราดสีทอง 1 ลูก","Piece",2,49
GO,8851483300413,"เอ ชอยซ์ ถั่วลิสง 1,000 ก.","Piece",1,94
GO,8854215005624,"ซุปเปอร์เซฟ ถุงมือพลาสติกสีฟ้า พีอี พับทีละ 2 ชิ้น","PACK",1,93
GO,2000100081075,"พริกหนุ่ม แพ็ค 300 ก.","PACK",2,35
GO,8853724001066,"สุบากิ วูสเตอร์ซอส 1 ล.","Piece",1,92
GO,2000100028759,"ลูกเดือย 500 ก.","Piece",1,46
GO,8856366000084,"ทาเบรุ สาหร่ายทะเลวากาเมะอบแห้ง 100 ก.","PACK",1,90
GO,2000100075579,"ผักสลัดแก้ว ออร์แกนิค แพ็ค 200 ก.","PACK",1,45
GO,8851163005935,"เอ็นที ปืนจุดแก๊ส x 3","PACK",1,89
GO,2000100075722,"หน่อไม้ฝรั่ง ออร์แกนิค แพ็ค 300 ก.","PACK",1,89
GO,8856366000145,"ทาเบรุ สาหร่ายทะเลคอมบุอบแห้ง 100 ก.","PACK",1,88
GO,2000100079287,"ผักโขมจีน แพ็ค 300 ก.","PACK",2,22
GO,2000100080641,"พริกขี้หนูสวนเด็ดก้าน แพ็ค 100 ก.","PACK",3,29
GO,2000100308523,"หัวไชเท้า ถุงใหญ่ แพ็ค 3 กก.","PACK",1,87
GO,2000100208731,"หอมใหญ่ไทย ยกกระสอบ 5 กก.","Sack",1,85
GO,2000100077122,"ถั่วงอกหัวโต 500 ก.","Piece",1,85
GO,2000100076866,"ต้นหอมญี่ปุ่น 1 กก.","Kilogram",1,85
GO,8850341300053,"ใบหยก แป้งมันสำปะหลัง 1 กก.","Piece",1,42
GO,8856366002125,"คาอิโซ เส้นแก้ว ชนิดเส้นเล็ก 300 ก.","PACK",1,41
GO,8857104140017,"เคซีเอฟ ไข่เค็มต้ม แพ็ค 4 ฟอง","Piece",1,41
GO,2000100078440,"แตงกวา แพ็ค 500 ก.","PACK",3,25
GO,8850161166051,"อัมพวา กะทิแท้ 100% Prisma 1 ล.","Piece",1,79
GO,2000100073742,"สับปะรดศรีราชา 1 ลูก","Piece",2,39
GO,8856366000015,"คาอิโซ เส้นแก้ว 300 ก.","PACK",1,39
GO,8851056190106,"ฟิกเกอร์ ตะหลิวไนลอน ทนร้อน 210 องศา สีดำ รุ่น NSP001","Piece",1,38
GO,8001200139196,"แอคเนซี พาสต้า เพนเน่ ริกาเต้ เบอร์ 19 500 ก.","Piece",1,76
GO,2000100071304,"ตำลึง แพ็ค 150 ก.","Piece",3,25
GO,2000100080276,"พริกไทยอ่อน แพ็ค 150 ก.","PACK",1,75
GO,2000100079447,"ขึ้นฉ่าย แพ็ค 150 ก.","PACK",3,25
GO,2000100077115,"ถั่วงอก แพ็ค 1 กก.","PACK",2,35
GO,8851163047775,"เอ็นที ชุดช้อนตวงสแตนเลส 4 ขนาด","Piece",1,35
GO,2000100078808,"หัวไชเท้า 1 กก.","Kilogram",1,35
GO,8850885324263,"ตรามือที่ 1 โรสแมรี่ 100 ก.","Piece",1,70
GO,2000100080085,"ข่าแก่ 1 กก.","Kilogram",1,69
GO,2000100144947,"ปลาทูนึ่ง 4 ตัว ขนาด 8-10 ตัว/กก. 1 แพ็ค","PACK",1,69
GO,8854700004231,"ขมิ้น ผง 200 ก.","Piece",1,68
GO,2000100073117,"เซเลอรี่นอก 1 กก.","Kilogram",1,65
GO,8859407100088,"ซีไอ เต้าหู้ขาว 200 ก.","Piece",1,21
GO,8858870307840,"เอ ชอยซ์ เกล็ดขนมปัง 1 กก.","Piece",1,62
GO,8850341100011,"ใบหยก แป้งข้าวจ้าว 1 กก.","Piece",1,31
GO,2000100080443,"พริกขี้หนูแดง ถุงใหญ่ 0.5-1.5 กก./แพ็ค","Pack",1,59
GO,2000100078150,"มะเขือยาว 1 กก.","Kilogram",1,59
GO,2000100073506,"ถั่วลันเตาหวานนอก แพ็ค 300 ก.","PACK",1,59
GO,8859786400557,"เอ ชอยซ์ ถั่วลันเตาแช่แข็ง 1 กก.","Piece",1,59
GO,8850173330167,"น้ำใจ พริกแกง พะแนง 500 ก.","Piece",1,58
GO,2000100077450,"ผักกาดขาวปลี 1 กก.","Kilogram",1,29
GO,8850329381876,"เมจิ โยเกิร์ตไม่เติมน้ำตาล รสธรรมชาติ 135 ก. x 4","Piece",1,58
GO,2000100078822,"หัวไชเท้า ถุงใหญ่ 2.5-3.5 กก./แพ็ค","Pack",1,19
GO,8857129337140,"เอ ชอยซ์ ซอสพริก 1,000 ก.","Piece",1,27
GO,2000100078976,"คะน้า แพ็ค 300 ก.","PACK",2,25
GO,8851717021084,"ดัชชี่ โพรไบโอติก โยเกิร์ต รสออริจินัล 125 ก. x 4","PACK",1,53
GO,2000100075067,"หอมแดง ตัดจุก แพ็ค 1 กก.","PACK",1,49
GO,2000100075524,"ผักชีฝรั่ง ออร์แกนิค แพ็ค 150 ก.","PACK",1,49
GO,2000100144565,"สาลี่น้ำผึ้ง 1 กก.","Kilogram",1,49
GO,2000100314180,"มันหวาน ซิลค์สวีท แพ็ค 500 ก.","PACK",1,45
GO,2000100079058,"ผักกวางตุ้ง แพ็ค 300 ก.","PACK",2,19
GO,8853026003942,"เอ ชอยซ์ น้ำส้มสายชูหมักข้าว 1 ล.","Piece",1,43
GO,8858878502056,"ช้อนทอง เต้าหู้ไข่ไก่ 120 ก. x 5","Piece",1,40
GO,2000100073544,"ยอดคะน้าฮ่องกง แพ็ค 500 ก.","PACK",1,39
GO,2000100075081,"หอมแขกจีน แพ็ค 1 กก.","PACK",1,39
GO,2000100154861,"พริกชี้ฟ้า แห้ง เด็ดก้าน 100 ก.","Piece",1,38
GO,2000100154854,"พริกชี้ฟ้า แห้ง 100 ก.","Piece",1,35
GO,2000100075364,"ขึ้นฉ่าย ออร์แกนิค แพ็ค 150 ก.","PACK",1,35
GO,2000100073636,"กล้วยหอม 1 แพ็ค","PACK",1,32
GO,2000100154878,"พริกจินดา แห้ง 100 ก.","Piece",1,32
GO,2000100079911,"ใบมะกรูดเด็ดก้าน แพ็ค 50 ก.","Piece",2,15
GO,2000100077702,"พาร์สลีย์ แพ็ค 200 ก.","PACK",1,29
GO,2000100080771,"พริกชี้ฟ้าเขียว แพ็ค 300 ก.","PACK",1,29
GO,2000100078310,"มะละกอดิบ 1 กก.","Kilogram",1,29
GO,2000100080887,"พริกเหลือง แพ็ค 100 ก.","PACK",1,29
GO,2000100071533,"กระชายฝอย แพ็ค 200 ก.","Piece",1,25
GO,2000100079171,"ผักบุ้งจีน แพ็ค 500 ก.","PACK",1,25
GO,2000100051719,"กระดูกข้อขาหมู 1 กก.","Kilogram",1,24
GO,2000100080825,"พริกชี้ฟ้าแดง แพ็ค 100 ก.","PACK",1,22
GO,2000100079744,"ใบโหระพาและใบกะเพรา แพ็ค 150 ก.","PACK",1,22
GO,2000100288290,"ปวยเล้งนอก 200 ก.","Piece",1,20
GO,2000100080467,"พริกขี้หนูแดง แพ็ค 100 ก.","PACK",1,19
